	sex	blood_group	job	residence	birthdate	ssn	current_location	race	name
1411	M	B+	Air cabin crew	"972 Marvin Crossroad
Salazarhaven, ID 73883"	08 Oct 1993	193-23-2329	(Decimal('-21.777363'), Decimal('-68.064934'))	Indian	Joseph Roberts
1412	F	B-	Education officer, environmental	"0245 Robert Isle Apt. 061
East Kristen, OH 68499"	06/12/1940, 00:00:00	035-08-5241	(Decimal('-2.3781715'), Decimal('76.350884'))	Indian	Amanda Nguyen
1413	F	A+	Civil Service administrator	"733 Strickland Mission Suite 940
South Ashleeville, RI 07065"	2003/10/18	001-64-1166	(Decimal('41.781521'), Decimal('-88.151209'))	White	Tabitha Thomas
1414	M	AB-	Psychiatric nurse	"PSC 1459, Box 9396
APO AP 41954"	1966-07-13	438-79-3621	(Decimal('27.0165475'), Decimal('160.287913'))	Black	Derrick Gordon DDS
1415	M	O-	Architect	"0178 Meyer Street
East Jamesshire, KS 65187"	05/17/1908, 00:00:00	428-70-8772	(Decimal('-12.796649'), Decimal('-78.474047'))	White	Kyle Hale
1416	M	A+	Production manager	"803 Jones Station
Samanthashire, LA 26205"	2000-04-19	246-47-0650	(Decimal('57.759661'), Decimal('-100.350631'))	Black	Scott Collins
1417	M	O+	Manufacturing engineer	"8081 Mark Isle
Port Kenneth, CT 64945"	02/03/2018, 00:00:00	105-98-4719	(Decimal('51.163364'), Decimal('-13.097359'))	White	Thomas Thompson
1418	F	AB-	Health and safety adviser	"Unit 9407 Box 8341
DPO AA 10789"	2018/09/21	395-43-6610	(Decimal('42.3055895'), Decimal('151.153899'))	Asian	Peggy Anderson
1419	M	B+	Engineer, structural	"3705 Douglas Valleys Apt. 444
Levyborough, PA 25275"	1933-10-03	160-56-5531	(Decimal('15.7611755'), Decimal('1.546321'))	White	Stephen Robinson
1420	F	O+	Education officer, museum	"74855 Lam Flat Suite 115
North David, GA 66511"	1958-09-01	187-13-6857	(Decimal('-85.6644175'), Decimal('-118.666191'))	Black	Abigail Smith
1421	M	AB-	Optician, dispensing	"444 Walton Burg Apt. 272
West Seantown, NJ 74316"	1915-04-02	830-85-6541	(Decimal('-24.4801935'), Decimal('129.782231'))	White	Bobby Lyons
1422	F	AB+	Theatre stage manager	"136 Mullen Village Apt. 079
Greenhaven, UT 66652"	12/24/1932, 00:00:00	435-66-0704	(Decimal('-23.0831685'), Decimal('-116.889120'))	Asian	Lisa Price
1423	F	AB+	Games developer	"PSC 6875, Box 8619
APO AA 79945"	28 Oct 2011	400-13-1218	(Decimal('26.625048'), Decimal('-128.908837'))	White	Gail Bennett
1424	M	B+	Social worker	"04437 Holmes Gardens Apt. 453
Lake Jamesland, AL 26207"	1964-12-28	425-76-3337	(Decimal('-70.256162'), Decimal('-9.799623'))	White	David Coleman
1425	M	AB-	Product/process development scientist	"002 Christopher Centers
Charlesmouth, OR 80907"	13 Feb 2017	819-66-1915	(Decimal('11.435509'), Decimal('68.416498'))	White	Jonathan Wright
1426	F	AB-	Pharmacist, community	"661 Carl Villages Apt. 286
South Manuelfort, NM 25651"	02 Jul 1977	726-59-7989	(Decimal('66.763822'), Decimal('158.524754'))	White	Nancy Edwards
1427	F	O+	Risk analyst	"PSC 3519, Box 3400
APO AA 90048"	08/20/1933, 00:00:00	056-72-9216	(Decimal('-25.053037'), Decimal('-83.116460'))	Black	Angela Gross
1428	M	A+	Commercial art gallery manager	"585 Rachel Turnpike
Port Davidfurt, MN 62669"	1978-04-18	646-52-3925	(Decimal('-32.078496'), Decimal('138.177643'))	Black	Christopher Rivera
1429	F	AB-	Maintenance engineer	"82765 Richard Island Suite 918
Lake Katherineton, NC 32211"	1996-05-13	376-23-5143	(Decimal('-55.858680'), Decimal('-22.158036'))	Hawaiian	Lisa Parsons
1430	M	A+	Chief of Staff	"9674 Lindsey Flat
South Marie, MT 52311"	15 Nov 2006	742-79-0678	(Decimal('-50.4171155'), Decimal('-165.214142'))	Hawaiian	Roger Evans
1431	M	O+	Acupuncturist	"575 Brown Ridge Apt. 289
Jordanfurt, FL 64675"	1982-04-12	772-78-2216	(Decimal('51.454419'), Decimal('21.235781'))	White	Alejandro Parker
1432	F	B+	Video editor	"884 Eddie Ridge Suite 576
Jeffreyhaven, MD 63878"	10 Feb 1923	471-76-2977	(Decimal('19.3875495'), Decimal('88.842595'))	Asian	Susan Mason
1433	F	O+	Applications developer	"03569 Courtney Place Suite 958
South Megan, MS 63725"	06/26/1990, 00:00:00	155-47-9399	(Decimal('-21.7045305'), Decimal('-30.580129'))	White	Melissa Adams
1434	M	B-	English as a foreign language teacher	"8409 Thompson Plaza Suite 964
Lorishire, VA 58920"	1951-08-31	629-45-5023	(Decimal('62.5817025'), Decimal('-2.295864'))	White	Gerald Vega
1435	F	A+	Technical sales engineer	"83043 Bradshaw Ridge
Claytonfurt, NE 64677"	1930/06/01	141-96-6730	(Decimal('77.8497515'), Decimal('-151.265864'))	Asian	Jessica Garcia
1436	F	O-	Museum/gallery conservator	"7048 Young Expressway
Matthewland, NC 08735"	18 Nov 1958	364-90-3930	(Decimal('7.213206'), Decimal('-42.930941'))	White	Monica Ware
1437	F	O+	Energy manager	"77897 Travis View
Comptonburgh, OK 10174"	04/07/1964, 00:00:00	011-04-9826	(Decimal('35.6030935'), Decimal('-134.798762'))	White	Tracy Ramsey
1438	F	AB-	Advertising account planner	"058 Kyle Course Apt. 583
Port Amy, IA 55846"	05 Aug 1937	239-98-8391	(Decimal('-76.0039395'), Decimal('5.681619'))	White	Heather Saunders
1439	M	B+	Warehouse manager	"907 Shelly Brook Suite 419
Nicolechester, ND 30592"	10/31/2015, 00:00:00	105-40-5339	(Decimal('89.097765'), Decimal('60.163303'))	Black	Timothy Hogan
1440	M	B+	Radiographer, diagnostic	"4508 Courtney Shores Suite 499
North Antonio, NE 14915"	1975-07-31	525-30-4878	(Decimal('55.3642215'), Decimal('-137.517064'))	White	David Rodriguez
1441	M	AB+	Ergonomist	"53740 Tamara Glens
Jennifershire, UT 60524"	1923-08-23	159-67-8905	(Decimal('-51.0933645'), Decimal('-6.245177'))	White	David Tran
1442	M	B+	Furniture conservator/restorer	"983 Denise Crossroad
Bishopland, MO 67519"	07/09/1964, 00:00:00	394-25-6511	(Decimal('-40.9638765'), Decimal('121.828390'))	White	Dr. Michael Robinson DDS
1443	F	A+	Journalist, broadcasting	"PSC 6842, Box 0847
APO AA 30222"	1981-10-16	050-22-3025	(Decimal('45.656459'), Decimal('-116.850316'))	Black	Penny Fernandez
1444	F	A+	Publishing rights manager	"3143 Veronica Place Apt. 471
Lake Carlatown, IN 11277"	1994-08-20	769-82-8978	(Decimal('-0.454142'), Decimal('137.022580'))	Indian	Whitney Malone
1445	F	O+	Psychotherapist	"04248 Hector Mount Suite 019
Lake Arthurburgh, NJ 45568"	1990-02-14	261-90-6320	(Decimal('-13.717058'), Decimal('95.760043'))	White	Kayla Jennings
1446	F	AB+	Dealer	"971 Clark Gateway Apt. 816
Robertfort, TX 22379"	2001/09/07	648-17-8145	(Decimal('39.824799'), Decimal('142.524118'))	Asian	Kristin Boyd
1447	M	O-	Therapist, speech and language	"60711 Moore Knolls Apt. 362
Port Casey, DE 28323"	2017-01-04	511-90-7810	(Decimal('-12.2896965'), Decimal('-153.543343'))	blsck	Derrick Bennett
1448	M	B-	Early years teacher	"8954 Martinez Highway
North Cassandraport, IL 12735"	1969-09-19	018-57-1755	(Decimal('68.9039555'), Decimal('164.949390'))	White	Keith Browning
1449	M	B+	Hotel manager	"PSC 6963, Box 5385
APO AA 86465"	1950/11/04	339-27-4314	(Decimal('30.623278'), Decimal('-66.773927'))	Black	John Ward
1450	F	A-	Licensed conveyancer	"323 Sophia Alley Apt. 947
Bowenhaven, CO 51214"	1968/09/30	793-15-9827	(Decimal('86.8086445'), Decimal('-25.076440'))	Black	Angela Jackson
1451	M	B-	Phytotherapist	"825 Jamie Route Apt. 757
West Williamburgh, VT 51452"	02/25/1930, 00:00:00	878-09-6062	(Decimal('11.6363745'), Decimal('58.720764'))	White	Ryan Sanchez
1452	M	AB-	Editor, commissioning	"62829 Sarah Field
Jeffersonside, MD 95310"	2006-05-19	413-04-1004	(Decimal('-59.024192'), Decimal('38.260179'))	Black	Kevin Berry
1453	F	B-	Engineer, building services	"486 Sellers Unions
Deniseberg, NJ 34600"	1920-09-02	635-91-1879	(Decimal('-60.376322'), Decimal('41.835082'))	Asian	Tammy Clark
1454	F	AB+	Editor, film/video	"5917 Bernard Garden
Lake Sarafurt, NM 73372"	06/13/1944, 00:00:00	571-18-2481	(Decimal('-1.0376805'), Decimal('141.103224'))	Black	Katie Vega MD
1455	M	A+	Geochemist	"81331 Graves Bypass Suite 459
North Shane, GA 60781"	1935/05/09	640-87-8322	(Decimal('-61.4008505'), Decimal('32.199847'))	White	Bryan Matthews
1456	M	B-	Advertising account executive	"PSC 5884, Box 9943
APO AP 90830"	1927/05/06	569-42-4094	(Decimal('-62.3293065'), Decimal('-148.711196'))	Black	Alexander Smith
1457	F	O-	Chemical engineer	"512 Christina Union Suite 083
Lake Jimmy, UT 82520"	2010/10/06	013-85-6954	(Decimal('-83.403922'), Decimal('32.883735'))	White	Grace Scott
1458	F	A+	Ship broker	"909 Cindy Overpass Suite 430
Lake Ashley, SC 23785"	03/27/2014, 00:00:00	853-53-0641	(Decimal('68.9735275'), Decimal('136.073612'))	Black	Dr. Morgan Lewis
1459	M	O-	Armed forces operational officer	"2943 Sullivan Forge
Port Nancy, AZ 70908"	10 Apr 1984	097-95-7775	(Decimal('-0.7612425'), Decimal('23.636791'))	Indian	Christopher Bonilla
1460	F	AB-	Media planner	"66636 Roberts Springs Apt. 093
East Denise, NE 88655"	1923/11/19	475-71-3854	(Decimal('-70.0381065'), Decimal('-68.589883'))	black	Leslie Marquez
1461	F	AB+	Interpreter	"582 Ward Ferry Suite 948
North Kyle, HI 59620"	1985-06-02	366-23-3888	(Decimal('12.9096615'), Decimal('-9.536469'))	Black	Alexandra Brown
1462	F	O+	Building surveyor	"9345 Lindsey Points
Bakerhaven, HI 98249"	1999/07/16	207-73-7343	(Decimal('-62.4886865'), Decimal('56.797940'))	Black	Victoria Thomas
1463	M	A-	Television camera operator	"2234 Tonya Wall Apt. 089
Benjaminstad, MA 13384"	04 Dec 2000	420-22-5352	(Decimal('-9.886774'), Decimal('-11.925497'))	Asian	Gabriel May
1464	F	AB-	Adult guidance worker	"146 Diana Motorway Apt. 550
Lake Danaton, MN 14971"	2002-04-24	869-16-8102	(Decimal('78.278365'), Decimal('-84.723334'))	White	Michaela Dawson
1465	F	B+	Scientist, product/process development	"3834 Fitzgerald Ferry Apt. 430
Jonathonborough, AR 54452"	10/05/1950, 00:00:00	648-62-1746	(Decimal('3.4141575'), Decimal('-88.525610'))	Hawaiian	Destiny Hale
1466	F	A+	Camera operator	"489 Adams Locks
Wilsonchester, WI 08556"	27 May 1988	629-44-9751	(Decimal('-38.847323'), Decimal('-158.691211'))	Black	Mackenzie Moran
1467	F	A+	Associate Professor	"0367 Troy Row Suite 306
North Elizabethchester, TN 60017"	30 Sep 1964	769-45-3886	(Decimal('6.232847'), Decimal('-43.875376'))	Indian	Amanda Wright
1468	M	O-	Presenter, broadcasting	"8666 Alexis Shores
Port Erica, OR 62642"	08/04/1935, 00:00:00	386-73-0747	(Decimal('-46.9408085'), Decimal('151.515817'))	White	Edward Dickerson
1469	F	O+	Analytical chemist	"1445 Cummings Junction
North Bailey, VT 42086"	1951-07-14	656-97-4822	(Decimal('-24.3067175'), Decimal('6.956844'))	White	Mercedes Williams
1470	F	B+	Metallurgist	"0437 Eric Square Apt. 786
Timothytown, ME 08293"	1930/11/08	349-76-4426	(Decimal('83.805487'), Decimal('96.257066'))	Hawaiian	Melissa Montoya
1471	M	O-	Psychologist, forensic	"41751 Timothy Freeway
Lake Thomas, TN 88713"	1980-09-01	071-06-8195	(Decimal('39.8956735'), Decimal('177.882433'))	White	John Moore
1472	F	O-	Garment/textile technologist	"3021 Cook River Apt. 830
West Elizabeth, KS 18041"	07/25/1949, 00:00:00	326-20-8000	(Decimal('0.564953'), Decimal('-45.371631'))	White	Deborah Harvey
1473	M	B+	Sales executive	"886 Deborah Hill Suite 286
East Jostad, WI 84989"	1955/02/25	093-92-1426	(Decimal('-66.013846'), Decimal('171.882212'))	White	Jacob Monroe
1474	M	O+	Phytotherapist	"3553 Nicolas Drive Suite 646
New Michellehaven, MI 97044"	1920/11/13	287-35-1173	(Decimal('-0.857320'), Decimal('60.589620'))	White	Michael Olson
1475	M	O+	Ceramics designer	"12308 Ponce Walk Suite 703
Lake Mikayla, WA 18968"	2016-02-20	329-46-1465	(Decimal('0.771951'), Decimal('-105.182123'))	Asian	Henry Norris
1476	M	O-	Heritage manager	"6754 Morgan Manors Suite 289
Valenciamouth, LA 08778"	1953/08/07	423-47-8650	(Decimal('86.1581945'), Decimal('-18.093024'))	Hawaiian	Bruce Johnson
1477	F	AB+	Phytotherapist	"74227 Holt Ports Apt. 487
West Meghan, CA 10481"	05 Nov 1920	699-73-2431	(Decimal('85.1218235'), Decimal('-27.714970'))	Black	Patricia Sanchez
1478	F	O+	Contractor	"87295 Lucas Freeway
New Grace, GA 27160"	1964-06-13	519-75-0706	(Decimal('54.8859665'), Decimal('136.420845'))	Asian	Diana Williams
1479	M	O+	IT sales professional	"82346 Jennifer Locks Suite 998
Weaverside, LA 99226"	06/01/1977, 00:00:00	199-82-2503	(Decimal('-75.621799'), Decimal('-66.616225'))	Black	Austin Ramirez
1480	F	AB+	Engineer, production	"974 Dominique Terrace Apt. 417
Lake Thomasport, WV 61796"	1918-10-29	244-66-6438	(Decimal('73.112294'), Decimal('-173.279051'))	Black	Amber Smith
1481	M	A-	Warehouse manager	"PSC 2682, Box 6417
APO AE 39540"	1920-02-03	550-71-9175	(Decimal('-72.022401'), Decimal('-67.321041'))	White	Robert Juarez
1482	F	O-	Statistician	"91819 Samuel Inlet
Rodriguezmouth, VT 61339"	1998-10-03	766-09-7901	(Decimal('11.944246'), Decimal('-127.947033'))	Asian	Allison King
1483	M	A+	Sports development officer	"33362 Lopez Landing
East Donald, OK 54872"	1930/05/03	611-57-6826	(Decimal('89.347699'), Decimal('62.288449'))	Black	Brian Brock
1484	F	O-	Oncologist	"USCGC Dominguez
FPO AE 84711"	1993-07-11	053-30-6616	(Decimal('28.140463'), Decimal('71.129243'))	White	Gwendolyn Powell
1485	M	O-	Retail banker	"532 Carl Walks Apt. 179
New Keithport, CT 36532"	1980/12/25	637-36-7698	(Decimal('-41.520703'), Decimal('17.676297'))	Black	Jason Rodriguez
1486	M	A-	Engineer, aeronautical	"78488 Robin Vista
East Heather, DC 79888"	06 Jun 1999	094-12-0566	(Decimal('-42.256579'), Decimal('-153.842692'))	White	Samuel Schwartz
1487	F	A-	Lecturer, further education	"7132 Gary Plains Apt. 375
New Adamtown, FL 97357"	1995/02/01	170-79-0613	(Decimal('-88.4244425'), Decimal('168.768690'))	White	Danielle Nunez
1488	M	A-	Environmental consultant	"751 Michael Streets Suite 774
Jamesland, AZ 00595"	1929/10/29	061-28-1518	(Decimal('-88.3112215'), Decimal('-165.906691'))	White	Michael Olsen
1489	M	B+	Translator	"154 Jeffrey Meadow Apt. 151
West Tiffanyshire, IN 35264"	1984/08/17	792-39-3655	(Decimal('78.4299545'), Decimal('124.140730'))	Asian	Ronald Stone
1490	M	A+	Designer, multimedia	"USNS Murray
FPO AP 78429"	26 Feb 1928	019-84-0499	(Decimal('13.8494715'), Decimal('173.607370'))	White	Antonio Lawson
1491	M	O-	Orthoptist	"31080 John Inlet Suite 941
Bobbytown, AK 45524"	1986-06-20	564-18-3527	(Decimal('-8.3819565'), Decimal('14.891825'))	White	Chad Mitchell
1492	M	B-	Scientist, clinical (histocompatibility and immunogenetics)	"3967 Brown Falls Apt. 440
Lake Kaylaland, RI 53976"	1938/08/29	881-58-5537	(Decimal('89.2562925'), Decimal('-58.612307'))	White	Steven Guzman
1493	F	AB+	Astronomer	"3574 Margaret Manor Apt. 271
South Meganbury, OK 40321"	12/23/2015, 00:00:00	185-37-0492	(Decimal('34.4961205'), Decimal('-4.802081'))	Indian	Brianna Hill
1494	F	O+	Brewing technologist	"7253 Owens Island
West Stephenchester, GA 96030"	1925/09/11	589-48-3545	(Decimal('22.417412'), Decimal('-102.692457'))	Black	Angela Mckinney
1495	F	O+	Engineer, manufacturing systems	"661 Valerie Drive Apt. 644
Lake Jennifer, WY 96230"	2002-05-26	341-57-3989	(Decimal('63.483204'), Decimal('-131.223595'))	Black	Kaitlyn Garcia
1496	F	A+	Commissioning editor	"712 Castillo Land Suite 335
Stevensland, NY 13985"	11/01/1919, 00:00:00	038-52-5372	(Decimal('31.768210'), Decimal('26.473806'))	White	Tina Harris
1497	M	O-	Charity officer	"66496 Melanie Throughway
Lake Josephburgh, VT 63559"	1934-02-08	700-95-0739	(Decimal('45.7725925'), Decimal('-37.232338'))	Black	William Ward
1498	F	B-	Buyer, industrial	"337 Guerrero Crescent Apt. 303
South Tonya, GA 15791"	1997-07-10	680-06-3511	(Decimal('87.571372'), Decimal('-82.448645'))	White	Nicole Strickland
1499	M	AB+	Social research officer, government	"9229 Smith Squares Suite 598
Michaelchester, LA 71668"	1966/01/01	488-07-3719	(Decimal('52.3208695'), Decimal('-129.799604'))	White	Stephen Jenkins
1500	M	A+	Medical laboratory scientific officer	"8444 Alexis Spring Suite 348
West Rachel, NE 37895"	2020-10-24	536-59-9870	(Decimal('-12.2805415'), Decimal('-54.872975'))	White	Dr. John Jones MD
1501	F	AB-	Scientist, clinical (histocompatibility and immunogenetics)	"USS Murphy
FPO AP 34658"	1926/06/21	760-65-9642	(Decimal('32.3560815'), Decimal('-129.167372'))	Black	Chloe Deleon
1502	M	B-	Dance movement psychotherapist	"81570 Montes Rue
Port Melanie, DE 30357"	06/28/2021, 00:00:00	571-19-0828	(Decimal('87.3246335'), Decimal('-109.806429'))	White	Jamie Rubio
1503	M	A-	Education officer, environmental	"172 Alexis Wall Apt. 381
Phillipston, MN 54710"	04 Oct 1972	553-17-9558	(Decimal('-21.165455'), Decimal('-175.339515'))	Black	Larry Perez
1504	M	O-	Financial manager	"414 Kylie Knolls Apt. 100
Thomasview, IN 39809"	11/05/1935, 00:00:00	011-11-4870	(Decimal('84.712984'), Decimal('-4.625158'))	White	Timothy Hoffman
1505	M	O+	Research scientist (life sciences)	"73907 Gordon Radial
West Jeremyshire, VA 97520"	1964-12-04	239-04-4704	(Decimal('24.917893'), Decimal('73.246485'))	Black	Mr. Kyle Morales
1506	M	O+	Physiotherapist	"610 Billy Glen Apt. 759
Allenview, WA 92812"	1990-03-10	602-49-8036	(Decimal('47.2126185'), Decimal('147.435746'))	Hawaiian	Edwin Martin IV
1507	M	B-	Sports administrator	"USS Gomez
FPO AP 58004"	1939/02/22	628-98-5655	(Decimal('-13.9490525'), Decimal('96.002075'))	White	Aaron Trujillo
1508	M	AB+	Engineer, maintenance	"877 Martinez Rapids Apt. 695
Michelleshire, WI 44856"	2001-05-02	422-55-5895	(Decimal('87.797242'), Decimal('104.719422'))	Hawaiian	Ryan Manning
1509	M	O+	Materials engineer	"2409 Dakota Walk
New Michaelview, OR 94963"	1946-09-24	053-04-1900	(Decimal('10.518366'), Decimal('94.379903'))	Indian	Kevin Miller
1510	M	AB-	Physiological scientist	"077 Watson Islands
Floresland, WV 36442"	10/08/1955, 00:00:00	037-30-1205	(Decimal('42.831092'), Decimal('-123.301471'))	Asian	Zachary Hall
1511	F	A+	Private music teacher	"777 Adam Brook
Port Joshuamouth, NH 73215"	1974/02/10	869-20-8848	(Decimal('5.840931'), Decimal('-122.522064'))	White	Joy Cook
1512	F	O+	Psychologist, clinical	"3514 Mariah Brook Suite 460
Albertmouth, DC 35372"	15 Aug 1976	455-65-9312	(Decimal('-30.188000'), Decimal('-19.642971'))	White	Karen Bradford
1513	F	O+	Furniture conservator/restorer	"6111 Baker Estates Apt. 425
New Garyport, ND 78952"	2001/12/10	432-44-9349	(Decimal('67.571515'), Decimal('-116.784339'))	White	Jennifer Gonzales
1514	F	B-	Insurance claims handler	"17705 Emily Lake
East Megan, KY 44994"	07 Jul 1955	291-06-3391	(Decimal('-28.217746'), Decimal('1.149543'))	White	Yolanda Olson
1515	M	B+	Clinical embryologist	"0645 Andrew Village Apt. 866
West Jeffrey, MS 38899"	21 Nov 1925	360-74-3214	(Decimal('70.184468'), Decimal('-81.598425'))	White	Roy Farley
1516	F	O+	Training and development officer	"6935 Kimberly Run Suite 021
Taylormouth, KS 21213"	1945/02/03	509-45-8812	(Decimal('38.574598'), Decimal('-145.511207'))	Black	Melissa Anderson
1517	M	A-	Musician	"0040 Leslie Roads
Frankmouth, OH 31171"	05 Aug 2021	209-16-1033	(Decimal('73.028671'), Decimal('146.946871'))	White	Robert Vargas
1518	F	B+	Geologist, engineering	"Unit 6847 Box 7178
DPO AA 27003"	1972/10/11	254-36-1516	(Decimal('-80.5896575'), Decimal('72.893675'))	White	Kathryn Jackson
1519	F	AB+	Naval architect	"00162 Jones Brooks Suite 487
Ginamouth, AL 64387"	2014-08-21	203-91-1306	(Decimal('70.054311'), Decimal('73.293136'))	black	Erica Brown
1520	F	AB+	Theatre stage manager	"USNS Patterson
FPO AA 40671"	1954/04/06	775-40-0254	(Decimal('77.8890605'), Decimal('-46.140704'))	White	Sarah Fisher
1521	F	B-	Structural engineer	"1037 Donald Groves
South Brandon, ID 67267"	2014/12/29	190-01-2008	(Decimal('-36.9178875'), Decimal('4.107420'))	White	Amber Ingram
1522	M	AB+	Web designer	"9999 Bradley Port
Lake Ryan, ID 72973"	1907/07/20	107-98-4795	(Decimal('-85.206069'), Decimal('-96.227026'))	White	William Stevens
1523	F	AB-	Archivist	"Unit 5296 Box 9458
DPO AP 80202"	1930-02-12	667-77-4218	(Decimal('78.979374'), Decimal('-147.082555'))	White	Monica Shaw
1524	M	A+	Town planner	"40538 Carla Glens
Faithshire, SC 51713"	1923-12-25	477-54-4378	(Decimal('-52.6429235'), Decimal('104.654125'))	Hawaiian	Cameron Wheeler
1525	M	A-	Printmaker	"880 Jackson Falls Suite 823
Lake Joshua, IL 91085"	24 Feb 1960	592-91-7049	(Decimal('20.621953'), Decimal('99.011012'))	White	Jesus Jackson
1526	F	B-	Actor	"4898 Anthony Viaduct
West Kara, ND 87188"	2004-02-20	717-79-4351	(Decimal('-64.5002335'), Decimal('93.151904'))	White	Carol Williams
1527	M	A+	Music tutor	"Unit 8572 Box 2128
DPO AA 88319"	1916-05-19	081-22-3531	(Decimal('66.1181185'), Decimal('45.093515'))	White	John Bush
1528	M	A-	Programmer, systems	"65638 Williams Shoal
Lake Susan, GA 90713"	2017/07/28	485-87-4163	(Decimal('-20.612181'), Decimal('37.847687'))	Black	Raymond Murphy
1529	F	AB+	Herpetologist	"90797 Adams Burgs Apt. 910
Bowenshire, MT 90005"	1970/08/31	467-41-5568	(Decimal('-44.2375925'), Decimal('-57.679459'))	White	Mary Wilcox
1530	M	A-	Surveyor, land/geomatics	"953 Ariana Expressway Suite 915
Lake Aaron, NM 41353"	02 Nov 1921	797-39-0668	(Decimal('56.521823'), Decimal('143.931928'))	White	Anthony Tate
1531	F	A+	Scientist, research (maths)	"404 White Harbor
Lake Joshuaville, TN 24786"	06 Jun 1929	489-76-6450	(Decimal('56.6733595'), Decimal('170.766279'))	White	Elizabeth Trevino
1532	M	O-	Purchasing manager	"Unit 9120 Box 5383
DPO AP 46951"	24 May 2009	217-15-2965	(Decimal('-15.2878345'), Decimal('49.714200'))	Asian	Eric Grant
1533	F	A+	Government social research officer	"1095 Derek Mount
Escobarburgh, IN 92320"	1972-02-06	094-65-1763	(Decimal('-74.612907'), Decimal('-147.945530'))	Black	Felicia Buck
1534	M	B+	Gaffer	"57403 Davenport Mission
East Thomas, IA 43252"	1957/01/29	318-35-7004	(Decimal('-79.398673'), Decimal('15.923214'))	White	Jeremy Hines
1535	M	B-	Planning and development surveyor	"5027 Schmidt Neck Apt. 774
Feliciaton, AL 21693"	2008-09-17	562-62-4819	(Decimal('-83.871791'), Decimal('-141.841286'))	White	Mark Jordan
1536	F	B+	Operations geologist	"957 Roberts Union
Evansport, FL 23282"	10/28/1937, 00:00:00	396-14-0846	(Decimal('-67.6080305'), Decimal('-140.426854'))	White	Linda Hill
1537	M	B-	Public librarian	"USNS Mccarthy
FPO AP 89155"	28 Jan 1996	861-68-6916	(Decimal('-77.955290'), Decimal('-3.658021'))	Black	John Ferguson
1538	F	O+	IT technical support officer	"543 Johnson Circle Apt. 948
Lake Stephanietown, OR 70192"	06 Jun 1971	111-61-8424	(Decimal('-17.650150'), Decimal('-46.303869'))	Asian	Hannah Davis
1539	M	A+	Surveyor, mining	"0399 Rogers Corners Suite 109
Olsenmouth, VT 18269"	14 Aug 1990	828-80-8278	(Decimal('5.418363'), Decimal('153.278082'))	Indian	Matthew Le
1540	M	B-	Nature conservation officer	"796 Christopher Bypass Suite 949
New Haroldtown, MN 77825"	1998-06-30	578-64-8751	(Decimal('32.1756495'), Decimal('-13.677804'))	White	Troy Gonzalez
1541	M	O+	Armed forces operational officer	"68534 Potter Port Suite 304
Laurieshire, NJ 83859"	1980/05/26	542-99-0091	(Decimal('51.6218075'), Decimal('-95.391957'))	Black	Daniel Turner
1542	M	AB-	Research scientist (maths)	"605 Lee Viaduct Suite 378
Collinston, HI 76820"	1980/01/25	243-87-6215	(Decimal('-73.467706'), Decimal('-112.879019'))	Black	Mark Martinez
1543	F	B+	Retail buyer	"PSC 9377, Box 4298
APO AP 67655"	1963-01-16	031-38-6848	(Decimal('89.107630'), Decimal('-39.260886'))	White	Elizabeth Hooper
1544	M	B-	Haematologist	"2306 Buck Gardens
Lake Larry, GA 77530"	20 Apr 1998	759-39-0586	(Decimal('11.4720415'), Decimal('31.074835'))	White	Keith Ross
1545	M	B+	Education officer, community	"8510 Roman Port Suite 619
North Kelseymouth, NM 96073"	1956/09/11	097-83-1786	(Decimal('32.7447235'), Decimal('-38.687960'))	Asian	Andrew Cervantes
1546	F	AB-	Geologist, engineering	"2863 Aaron Locks Apt. 218
Lake Martha, SD 65254"	21 Apr 1939	501-76-3255	(Decimal('-87.4277305'), Decimal('18.369883'))	White	Kelly Rodriguez
1547	M	B-	Travel agency manager	"72016 Hoffman Alley
Romanberg, NC 66766"	1945-10-11	070-04-5262	(Decimal('-70.4164575'), Decimal('-76.886303'))	Black	Bruce Stuart
1548	M	A+	Psychologist, forensic	"81991 Murphy Throughway
North Alexander, OK 93630"	13 Jan 1993	687-01-3013	(Decimal('52.3784555'), Decimal('137.193566'))	Indian	Scott Green
1549	F	B+	Optometrist	"536 Cain Burgs
Cindyland, DC 43410"	1923/01/15	823-67-8937	(Decimal('-58.1457245'), Decimal('-40.903701'))	White	Kayla Lewis
1550	M	AB+	Doctor, general practice	"USS Hill
FPO AA 97200"	14 Nov 1905	686-87-2643	(Decimal('-24.3586215'), Decimal('57.572081'))	White	Christopher Barron
1551	M	AB+	Structural engineer	"PSC 1929, Box 4487
APO AE 17380"	1988-02-03	330-27-9594	(Decimal('68.409553'), Decimal('-5.820159'))	black	Christopher Irwin
1552	F	B-	Tax inspector	"419 Perry Fork
Griffinton, NE 60167"	2007-06-15	574-51-5593	(Decimal('-50.5066405'), Decimal('128.183433'))	White	Jacqueline Mitchell
1553	F	B+	Legal secretary	"8420 Chad Mission
Ronaldmouth, OR 11231"	1927-05-20	436-39-4460	(Decimal('-5.364216'), Decimal('-92.820974'))	Black	Ann Mcmillan
1554	M	B-	Professor Emeritus	"06704 Debbie Shores Apt. 000
Pattonland, MA 80918"	1968-03-09	870-72-5611	(Decimal('-13.006653'), Decimal('-82.390987'))	White	Robert Clark
